Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","115","Cambodia","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","10350","S","Standardized data"
"FBS","New Food Balances","115","Cambodia","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","750","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","1","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","360","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","2246","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2516","Oats","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2517","Millet and products","2017","2017","1000 tonnes","102","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2518","Sorghum and products","2017","2017","1000 tonnes","1352","S","Standardized data"
"FBS","New Food Balances","32","Cameroon","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","29997","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2805","Rice and products","2017","2017","1000 tonnes","0","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2513","Barley and products","2017","2017","1000 tonnes","7891","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2514","Maize and products","2017","2017","1000 tonnes","14095","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2515","Rye and products","2017","2017","1000 tonnes","300","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2516","Oats","2017","2017","1000 tonnes","3733","S","Standardized data"
"FBS","New Food Balances","33","Canada","5511","Production","2520","Cereals, Other","2017","2017","1000 tonnes","330","S","Standardized data"
"FBS","New Food Balances","37","Central African Republic","5511","Production","2511","Wheat and products","2017","2017","1000 tonnes","0","S","Standardized data"
